region,district_ocha,idp_settlement,n,,,,,,dataset,idp_settlement,,sampling frame,,,,,,,,Row Labels,hc,idp,Grand Total
togdheer,Burco,yes,77,,,,,,,,,,,,,,,,,,,,
togdheer,Buuhoodle,no,65,,,,,,,,,,,,,,,,,,,,
togdheer,Buuhoodle,yes,112,,,,,,,,,,,,,,,,,,,,
togdheer,Owdweyne,no,137,,,,,,,,,,,,,,,,,,,,
togdheer,Owdweyne,yes,65,,,,,,,,,,,,,,,,,,,,
togdheer,Sheikh,no,130,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Berbera,no,78,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Berbera,yes,76,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Gebiley,no,121,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Gebiley,yes,69,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Hargeysa,no,125,,,,,,,,,,,,,,,,,,,,
woqooyi_galbeed,Hargeysa,yes,115,,,,,,,,,,,,,,,,,,,,
